Sub,Category,Dif,Time periods,Question,Answer
,Pop culture,3,2020s,Who is the TikTok star known for her M to the B lip sync?,Bella Poarch.
,Pop culture,3,"2010s, 2020s",Who is the TikTok star known for creating the Say So dance?,Haley Sharpe. (yodelinghaley)
,Pop culture,4,2020s,Who is the TikTok star known for creating the viral Savage Challenge?,Keara Wilson. (keke.janajah)
,Pop culture,5,2020s,Which TikTok star is referred to as a 'real-life Tarzan'?,Kody Antle.
,Pop culture,5,2020s,Which TikTok star member of the creative collective Privé Crew has a music single called Escápate?,Naim Darrechi.
,Theology,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which special bread of Ashkenazi Jewish origin is usually braided and typically eaten on ceremonial occasions such as Shabbat and major Jewish holidays?,Challah.
,Geography,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the largest island of the Phillipines?,Luzon
,Geography,1,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which US state contains an area known as the Panhandle?,Florida.
,Language,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In the legal world, what is the term for failure to exercise appropriate and/or ethical ruled care expected to be exercised amongst specified circumstances?",Negligence
,Sports,1,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which professional sports team has the Phillie Phanatic as a mascot?,The Philadelphia Phillies.
,Sports,4,"1990s, 2000s, 2010s, 2020s",Which professional baseball team has the Racing Sausages as mascots?,The Milwaukee Brewers.
,Sports,2,"2000s, 2010s, 2020s",The Racing Presidents as mascots?,The Washington Nationals.
,Sports,4,"1990s, 2000s, 2010s, 2020s",The Racing Pierogies as mascots?,The Pittsburgh Pirates.
,Sports,3,"2000s, 2010s, 2020s",Which Major League Baseball team has the Rally Monkey as a mascot?,The Los Angeles Angels.
,Sports,3,"1990s, 2000s, 2010s, 2020s",Which professional sports team has Lou Seal as a mascot?,The San Francisco Giants.
,Sports,1,"1980s, 1990s, 2000s, 2010s, 2020s",Which professional sports team has Homer the Brave as a mascot?,The Atlanta Braves.
,Sports,4,"1980s, 1990s, 2000s, 2010s, 2020s",Which professional sporst team has Billy the Goat as a mascot?,The Chicago Cubs.
,Sports,4,"1980s, 1990s, 2000s, 2010s, 2020s",Which professional sports team has Fredbird as a mascot?,The St Louis Cardinals.
,Sports,5,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which National Hockey League team has the Youppi! as a mascot?,The Montreal Canadiens.
,Sports,2,"1980s, 1990s, 2000s, 2010s, 2020s",Which professional sports team has SuperMascot Rocky as a mascot?,The Denver Nuggets.
,Sports,5,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which university has the Nittany Lion as a mascot?,Penn State University.
,Sports,1,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which university has Albert and Alberta Gator as mascots?,University of Florida.
,Sports,5,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which university has Bucky the Badger as a mascot?,University of Wisconsin-Madison.
,Sports,5,"1980s, 1990s, 2000s, 2010s, 2020s",Boomer and Sooner as the costumed mascots that represent which university?,The unversity of Oklahoma.
,Sports,5,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which university has the Demon Deacon as a mascot?,Wake Forest University.
,Sports,5,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which university has Sam the Minuteman as a mascot?,University of Massachusetts.
,Sports,5,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which university has a longhorn steer named Bevo as a mascot?,University of Texas.
,Music,2,2010s,Which music-based social network was bought by ByteDance in 2017 and merged into TikTok?,Musical.ly.
,Music,3,"1980s, 1990s, 2000s, 2010s",Dolores O'Riordan was the singer of which alternative rock band that sold over 40 million albums worldwide?,The Cranberries.
,Science,4,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Perfluoroalkyl and polyfluoroalkyl substances are commonly referred to by what four letter acronym?,PFAS.
,Television,3,"1970s, 1980s",Who was the highest-paid child actor on television throughout the late 1970s and 1980s?,Gary Coleman.
,Language,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What Latin term means a rhetorical strategy where the speaker attacks the character, motive, or some other attribute of the person making an argument rather than addressing the substance of the argument itself?",Ad hominem.
,Sports,1,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",The term 'Charley horse' originated from players suffering cramps playing which sport?,Baseball.
,Economics,3,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",In which country is the World Economic Forum headquarted?,Switzerland.
,Miscellaneous,3,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many types of patents can be granted by the USPTO?,"Three. (Utility patents, design patents, and plant patents)"
,History,4,1800-1900,"In 1809, Mary Kies became the first woman to be granted a what?",Patent.
,Music,3,"1990s, 2000s, 2010s, 2020s",Shaggy 2 Dope and Violent J make up which rap duo?,Insane Clown Posse.
,Economics,2,"1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In the economics world, what does FDI stand for?",Foreign Direct Investment.
,Technology,2,"1980s, 1990s, 2000s, 2010s, 2020s","In the microelectronics industry, a semiconductor fabrication plant is commonly referred to by what three letter name?",Fab.
,Geography,1,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which country is just south of Taiwan?,The Philippines.
,Video Games,4,"2010s, 2020s","The developer of the indie video game Stardew Valley, Eric Banone, is commonly known by what alias?",ConcernedApe.
,Video Games,2,1990s,What was the first popular farming video game?,Harvest Moon.
,Video Games,4,1990s,The video game known as Farm Story in Japan was released under what name in North America?,Harvest Moon.
,Literature,4,"1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which annual award ceremony recognizes the best works of science fiction or fantasy published in the United States?,The Nebula Awards.
,Literature,3,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",The Marvel villain Thanos is from which moon of Saturn?,Titan.
,Literature,2,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In the Marvel Universe, what race is an offshoot of humanity known as Homo immortalis?",The Eternals.
,History,4,1800-1900,English statistician Florence Nightingale came to prominence while serving as a manager and trainer of nurses during which war?,The Crimean War.
,History,2,"<1500, 1500-1800",A signoria was the governing authority in many city states in which country during the Medieval and Renaissance periods?,Italy.
,Theology,2,1800-1900,Which American religious leader and founder of Mormonism and the Latter Day Saint movement published The Book of Mormon in 1830?,Joseph Smith.
,Math,4,<1500,Which mathematicisn introduced the concept of perfect numbers?,Euclid.
,Video Games,5,1990s,"In the Sonic the Hedgehog universe, what type of animal is the Knuckles character?",An echidna.
,Video Games,4,"1980s, 1990s",What is the Sega Genesis video game console known as in Japan?,The Sega Mega Drive.
,Pop culture,2,1990s,"Flash the Dolphin, Chocolate the Moose, and Spot the Dog are all examples of what?",Beanie Babies.
,Politics,4,1800-1900,"In 1831, Belgium declared independence from which nation?",The Netherlands.
,Politics,2,1800-1900,"In 1804, Haiti declared independence from which nation?",France.
,Politics,1,1800-1900,"In 1810, Mexico declared independence from which nation?",Spain.
,Politics,1,1800-1900,"In 1816, Argentina declared independence from which nation?",Spain.
,Politics,1,1800-1900,"In 1818, Chile declared independence from which nation?",Spain.
,Politics,1,1800-1900,"In 1819, Columbia declared independence from which nation?",Spain.
,Politics,1,1800-1900,"In 1821, Peru declared independence from which nation?",Spain.
,Politics,2,1800-1900,"In 1829, Argentina declared independence from which empire?",The Ottoman Empire.
,Politics,3,1800-1900,"In 1822, Ecuador declared independence from which nation?",Spain.
,Politics,2,1800-1900,"In 1821, Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua, and Panama declared independence from which nation?",Spain.
,Politics,3,1900-1950,"In 1922 , Egypt declared independence from which nation?",The United Kingdom.
,Politics,5,1900-1950,"In 1949, Indonesia declared independence from which nation?",The Netherlands.
,Politics,2,1900-1950,"In 1945, North and South Korea declared independence from which nation?",Japan.
,Politics,3,1950s,"In 1953, Cambodia declared independence from which nation?",France.
,Politics,4,1950s,"In 1953, Laos declared independence from which nation?",France.
,Politics,4,1950s,"In 1957, Malaysia declared independence from which nation?",The United Kingdom.
,Politics,4,1960s,"In 1965, Singapore declared independence from which nation?",Malaysia.
,Politics,4,1970s,"In 1971, Bangladesh declared independence from which nation?",Pakistan.
,Politics,4,2010s,In which year did South Sudan gain independence from Sudan?,2011
,Sports,1,1970s,Which skatebaording fundamental was invented in the late 1970s by Alan Gelfand?,The ollie.
,Politics,5,2010s,Which country became the world's youngest nation in 2011?,South Sudan.
,Music,5,<1500,"Disputed by scholars, popular legend credits which pope with inventing Gregorian chant?",Pope Gregory I.
Languages,Language,1,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the official language of Israel?,Hebrew.
Celebrities,Pop culture,4,2020s,Which rare autoimmune condition did Ashton Kutcher reveal he stuggled with 2022?,Vasculitis.
,Miscellaneous,3,1900-1950,Which popular board game was originally called Criss Cross?,Scrabble.
,Television,3,"1990s, 2000s",What is Buffy's last name in the television series Buffy the Vampire Slayer?,Summers.
,Miscellaneous,3,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the common academic title for the highest-performing student of a graduating class of an academic institution?,Valedictorian.
,Economics,4,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",In which country in the international clothing company H&M based?,Sweden.
,Economics,5,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which Spanish multinational clothing company owns Zara?,Inditex.
,Economics,4,1800-1900,The luxury fashion brand Tiffany & Co was founded in 1837 which country?,The United States.
,Economics,3,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s","Gucci, Prada, and Max Mara luxury fashion brands were all founded in which city?","Milan, Italy."
,Economics,1,"1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","Yves Saint Laurent, Louis Vuitton, and Hermès luxury fashion brand were all founded in which city?","Paris, France."
,Technology,5,1990s,Which company coined the term GPU in reference to their 32 bit GPU that was designed by Toshiba?,Sony.
,Food,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",From which country does the daikon or mooli radish originate?,China.
,Science,5,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In the cognitive bias world, what is the term for tthe tendency for positive impressions of a person, company, brand, or product in one area to positively influence one's opinion or feelings in other areas?",The halo effect. (Or halo error)
,Food,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",From with country does tofu originate?,China.
,Science,5,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the iron- and oxygen-binding protein found in the cardiac and skeletal muscle tissue of vertebrates in general and in almost all mammals?,Myoglobin.
,Food,3,"1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","Which cooking technique is characterized by low-temperature cooking, a longer period of cooking than conventional cooking, a container (such as a plastic bag) that separates the food from its heating environment, and pressurized enclosure using full or partial vacuum?","Sous vide. (Or low-tempterature, long-time or LTLT)"
,Science,4,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which two body parts does a trichologist specialize in?,Hair and scalp.
,Television,3,1990s,"In the television series Are You Afraid of the Dark?, what is the name of the club of kids that tell scary stories around a bonfire?",The Midnight Society.
,Art,2,2020s,"WOMBO Dream, DALL-E 2, NightCafe, and Deep Dream are all examples of what?",AI art generators.
,Miscellaneous,4,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What common courtroom objection can be abbreviated with AAA?,Asked And Answered.
Riddles,Miscellaneous,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What is the answer to the riddle 'I am not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?'",Fire.
Riddles,Miscellaneous,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What is the answer to the riddle 'What starts with an E, ends with an E, but only contains one letter?'",Envelope.
Riddles,Miscellaneous,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What is the answer to the riddle 'What has a head and a tail, but no body?'",A coin.
Riddles,Miscellaneous,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What is the answer to the riddle 'What is so light it can be carried by the wind, but even the strongest man cannot hold it for long?'",Breath.
Riddles,Miscellaneous,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the answer to the riddle 'What is so fragile that saying its name breaks it?',Silence.
,Sports,1,1990s,Which athlete said the quote 'I can accept failure. Everyone fails at something. But I can't accept not trying.'?,Michael Jordan.
,Theater,4,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What is the term for a stage musical in which a majority of the songs are well-known popular music songs, rather than original music?",A jukebox musical.
,Theater,1,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",The last day of a Broadway show is known as what?,Closing night.
,Theater,2,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the term for the light that is left energized on the stage of a theater when the theater is unoccupied and would otherwise be completely dark?,Ghost light.
,Philosophy,4,<1500,Which ancient philosopher said the quote 'It does not matter how slowly you go as long as you do not stop.'?,Confucius.
,Miscellaneous,5,1800-1900,Who said the quote 'The best and most beautiful things in the world cannot be seen or even touched--they must be felt with the heart.'?,Hellen Keller.
,Politics,4,1990s,"Which political activist said the quote 'The greatest glory in living lies not in never falling, but in rising every time we fall.'?",Nelson Mandela.
,Politics,3,1900-1950,Which US President said the quote 'The only limit to our realization of tomorrow will be our doubts of today.',Franklin D Roosevelt.
,Politics,1,1900-1950,"Which European leader said the quote 'Success is not final, failure is not fatal. It is the courage to continue that counts.'",Winston Churchill.
,Miscellaneous,5,1900-1950,"Which mountain climber said the quote 'It is not the mountain we conquer, but ourselves.'?",Edmund Hillary.
,Miscellaneous,4,1950s,Which American poet said the quote 'In three words I can sum up everything I've learned about life: It goes on.',Robert Frost.
,Language,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which adjective is defined as 'Intended for or likely to be understood by only a small number of people with a specialized knowledge or interest.'?,Esoteric.
,Language,5,"1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","Which hand gesture, sometimes known as 'hang loose' or 'right on', is a gesture with friendly intent often associated with Hawaii and surf culture?",The shaka sign.
,Philosophy,4,1800-1900,"A proponent of utilitarianism, which political economist, and Member of Parliament has been dubbed the most influential English-speaking philosopher of the nineteenth century?",John Stuart Mill.
,Nature,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What is the term for water occurring in a natural environment that has more salinity than freshwater, but not as much as seawater?",Brackish water.
,Technology,2,2020s,"Which country permanently banned TikTok on June 29 2020, citing a law that allows the government to block websites and apps in the interest of the country's sovereignty and integrity?",India.
,Philosophy,5,1800-1900,"Which Scottish historian, economist, political theorist, and philosopher was John Stuart Mill's father?",James Mill.
,Miscellaneous,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the name of the puzzle device that combines the use of illustrated pictures with individual letters to depict words or phrases?,A rebus.
,Movies,1,1990s,Which 1990 movie features Arnold Schwarzenegger playing Detective John Kimble?,Kindergarten Cop.
,Theater,4,1950s,Who wrote the 1953 play The Crucible?,Arthur Miller.
,Theater,2,1900-1950,Who wrote the 1947 play A Streetcar Named Desire?,Tennessee Williams.
,Theater,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the term for the study of dramatic composition and the representation of the main elements of drama on the stage?,Dramaturgy.
,Theater,3,1500-1800,What is the name of the theater where Shakespeare's plays were first performed?,The Globe Theatre.
,Theater,5,1800-1900,"First premiering in 1866, what is the name of the play that is generally considered to be the first musical?",The Black Crook.
,Theater,3,1900-1950,Who wrote the 1949 play Death of a Salesman?,Arthur Miller.
,Theater,5,1900-1950,Which play won the Pulitzer Prize for Drama in 1949?,Death of a Salesman.
,Theater,5,2010s,What is the name of the play that won the Pulitzer Prize for Drama in 2018?,The Cost of Living.
,Theater,5,1900-1950,Who wrote the 1944 play The Glass Menagerie?,Tennessee Williams.
,Theater,5,2010s,What is the name of the play that won the Tony Award for Best Play in 2018?,Harry Potter and the Cursed Child.
,Theater,5,2010s,What is the name of the play that won the Tony Award for Best Musical in 2018?,The Band's Visit.
,Theater,1,1800-1900,Who wrote the 1895 play The Importance of Being Earnest?,Oscar Wilde.
,Theater,5,2010s,Which play won the Tony Award for Best Revival of a Play in 2018?,Angels in America.
,Theater,5,1800-1900,Who wrote the 1879 play A Doll's House?,Henrik Ibsen.
,Theater,4,2010s,What is the name of the play that won the Tony Award for Best Revival of a Musical in 2018?,Once on This Island.
,Theater,5,1900-1950,Who wrote the play The Cherry Orchard?,Anton Chekov.
,Theater,4,1900-1950,Which 1904 play was the last play written by playwright Anton Chekov?,The Cherry Orchard.
,Theater,4,2010s,Which Jez Butterworth play that won the Tony Award for Best Play in 2019?,The Ferryman.
,Theater,1,1900-1950,Who wrote the 1926 play The Great Gatsby?,F Scott Fitzgerald.
,Theater,5,2010s,What is the name of the play that won the Tony Award for Best Musical in 2019?,Hadestown.
,Theater,5,2010s,What is the name of the play that won the Tony Award for Best Revival of a Play in 2019?,All My Sons.
,Theater,5,2010s,What is the name of the play that won the Tony Award for Best Revival of a Musical in 2019?,Oklahoma!
,Geography,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",The biodiverse island of Socotra is a part of which nation?,Yemen.
,Miscellaneous,3,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In North America, what day of the year is known as Groundhog Day?",February 2nd.
,Television,3,2020s,What word is in the title of every episode of the 2022 Netflix television series Wednesday?,Woe.
,Language,3,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What is the term for sexual, romantic, or emotional attraction towards people regardless of their sex or gender identity?",Pansexual. (Or omnisexual)
,Politics,1,1960s,"Who said 'Ask not what your country can do for you, ask what you can do for your country.'?",John F Kennedy.
,History,1,1960s,Who said 'I have a dream that one day this nation will rise up and live out the true meaning of its creed.'?,Martin Luther King Jr.
,Philosophy,2,<1500,Who said 'The only true wisdom is in knowing you know nothing.'?,Socrates
,Politics,3,1900-1950,Which US President said 'The only limit to our realization of tomorrow will be our doubts of today.'?,Franklin D. Roosevelt
,Literature,1,"1800-1900, 1900-1950","Which literary character said 'Once you eliminate the impossible, whatever remains, no matter how improbable, must be the truth.'?",Sherlock Holmes.
,Theology,3,2010s,"In 2016, Mother Teresa was canonized Saint Teresa of what?",Calcutta.
,Theology,5,2010s,Who won the Nobel Peace Prize in 1979 and then was canonized a saint in 2016?,Mother Teresa. (Mary Teresa Bojaxhiu)
,Technology,5,"1990s, 2000s, 2010s, 2020s",What is the term 'cobot' short for?,Collaborative robot.
,Technology,1,"2010s, 2020s",What controversial feature in Tesla cars is abbreviated by FSD?,Full Self Driving.
Branches,Philosophy,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the branch of philosophy concerned with the theory of knowledge?,Epistemology.
,Science,3,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What are the three modes of heat transfer?,"Conduction, convection, and radiation."
,Philosophy,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","Which philosophical fallacy occurs when an argument's premises assume the truth of the conclusion, instead of supporting it?","Begging the question. (Or circular reasoning, circulus in probando, circular logic)"
,Philosophy,2,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which philosophical fallacy is characterized by representing an opponent's argument in order to make it easier to attack?,Strawman fallacy.
,Philosophy,1,<1500,Philosopher Thomas Aquinas is famous for his five arguments for the existence of what?,God.
,Philosophy,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which philosophical informal fallacy is based on a premise that erroneously limits what options are available?,A false dilemma. (False dichotomy or false binary)
,Philosophy,5,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which informal fallacy is one in which one attempts to protect their universal generalization from a falsifying counterexample by excluding the counterexample improperly?,No True Scotsman. (Or appeal to purity)
,Philosophy,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","Which logical fallacy is one in which irrelevant information is presented alongside relevant information, distracting attention from that relevant information?",Red herring fallacy.
,Philosophy,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In argumentation, which three-Latin word fallacious argument which is based on claiming a truth or affirming something is good because the majority thinks so?",Argumentum ad populum.
,Philosophy,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Translate this philosophical fallacy name from Latin: Post hoc ergo propter hoc.,"After this, therefore because of this."
,Philosophy,3,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which philosophical fallacy is characterized by assuming that past events will influence future outcomes in a random process?,Gambler's fallacy. (Or Monte Carlo fallacy)
,Philosophy,3,<1500,Which philosopher wrote The Summa Theologica between 1265 and 1274?,Thomas Aquinas.
,Philosophy,4,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which philosophical approach assesses the truth of meaning of theories or beliefs in terms of the success of their practical application?,Pragmatism.
,Philosophy,3,"2010s, 2020s",What is the opposite of a strawman argument?,A steelman argument.
,Pop culture,4,"2010s, 2020s","In online investing jargon, what is the opposite of diamond hands?",Paper hands.
,Philosophy,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","Which epistemological theory maintains that faith is independent of reason, or that reason and faith are hostile to each other and faith is superior at arriving at particular truths?",Fideism.
,Technology,4,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What type of flying insect was the term 'computer bug' named after?,A moth.
,Pop culture,3,"2010s, 2020s",British rapper David Orobosa Omoregie goes by what stage name?,Dave.
,Music,3,"2000s, 2010s, 2020s","Known mostly for dubstep and drum and bass, which Britich electronic dance music trio consists of Dan Stephens, Joe Ray, and Alana Watson?",NERO.
,Pop culture,5,"1500-1800, 1800-1900",Which pseudoscience involves the measurement of bumps on the skull to predict mental traits?,Phrenology.
,Politics,4,"1980s, 1990s, 2000s, 2010s, 2020s","In US political jargon, what is the term for a news event that may influence the outcome of an upcoming November election, whether deliberately planned or spontaneously occurring?",October surprise.
,Pop culture,2,"1500-1800, 1800-1900","Which pseudoscience is a system of medicine that uses diluted substances to treat illnesses, based on the principle that 'like cures like'?",Homeopathy.
,Television,4,"2010s, 2020s",What is the matriarch's nickname in the television series Animal Kingdom?,Smurf.
,Television,3,2020s,"In 2020, Netflix pulled the the season 2 episode titles Advanced Dungeons & Dragons of the television series Community, due to it featuring Ken Jeong's character, Ben Chang, doing what?",Blackface.
,Language,5,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the term for the art of using gesticulations or hand gestures to good effect in traditional rhetoric or oratory?,Chironomia.
,Language,5,"2000s, 2010s, 2020s","What is the term for the study of human use of space and the effects that population density has on behaviour, communication, and social interaction",Proxemics.
,Philosophy,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",A common phrase in philosophy is 'correlation does not imply' what?,Causation.
,Philosophy,3,<1500,Who is considered the father of Western philosophy?,Socrates.
,Philosophy,1,<1500,Which Roman emperor recorded his private notes to himself and ideas on Stoic philosophy in his famous work Meditations?,Marcus Aurelius.
,Philosophy,5,<1500,What is the name for the philosophical belief that free will and determinism are mutually compatible and that it is possible to believe in both without being logically inconsistent?,Compatibilism.
,Philosophy,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the branch of philosophy that deals with the nature of reality?,Metaphysics.
,Philosophy,4,1500-1800,Who is the philosopher known for his concept of the categorical imperative?,Immanuel Kant.
,Philosophy,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the branch of philosophy that deals with the nature of morality?,Ethics.
,Philosophy,5,1900-1950,Who is the philosopher known for his work on existentialism?,Jean-Paul Sartre.
,Philosophy,4,<1500,Who is the philosopher known for his concept of the noble lie?,Plato.
,Philosophy,3,1800-1900,Who is the philosopher known for his concept of the eternal recurrence?,Friedrich Nietzsche.
,Philosophy,4,<1500,Who is the philosopher known for his concept of the unmoved mover?,Aristotle.
,Philosophy,1,1800-1900,Who is the philosopher known for his concept of the superman or Übermensch?,Friedrich Nietzsche.
,Philosophy,4,1500-1800,Who is the philosopher known for his concept of the substance dualism?,René Descartes.
,Philosophy,3,1500-1800,Who is the philosopher known for his concept of the tabula rasa?,John Locke.
,Philosophy,5,1990s,Who is the philosopher known for his concept of the end of history?,Francis Fukuyama.
,Philosophy,1,<1500,Which philosopher wrote the book The Nicomachean Ethics?,Aristotle.
,Philosophy,4,1500-1800,Who is the philosopher known for his concept of the social contract?,Jean-Jacques Rousseau.
,Philosophy,3,1500-1800,Which city was philosopher Jean-Jacques Rousseau born in?,"Geneva, Switzerland."
,Philosophy,5,1900-1950,Which British philosopher of language is best known for developing the theory of speech acts?,JL Austin.
,Pop culture,4,1990s,Felix Dennis founded which international men's magazine in 1995?,Maxim.
,Science,2,"1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In psychotherapy world, what does CBT stand for?",Cognitive Behavioral Therapy.
,Philosophy,5,1900-1950,"A key document of existentialism, Being and Time is the 1927 magnum opus of which German philosopher?",Martin Heidegger.
,Philosophy,5,1500-1800,Who wrote the 1781 book Critique of Pure Reason?,Immanuel Kant.
,Philosophy,5,1800-1900,The 1807 work The Phenomenology of Spirit is the most widely-discussed philosophical work of which German philosopher?,Georg Wilhelm Friedrich Hegel.
